KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
22846069;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;1;;;26203;750613.00;1076713.00;2013-12-02T00:00:00
22846077;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;2;;;26203;750483.81;1076596.63;2013-12-02T00:00:00
22846085;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;3;;;26203;750675.94;1076669.50;2013-12-02T00:00:00
22846093;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;4;;;26203;750604.38;1076658.50;2013-12-02T00:00:00
22846107;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;5;;;26203;750610.31;1076705.75;2013-12-02T00:00:00
22846123;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;7;;;26203;750861.38;1076838.63;2019-06-21T00:00:00
22846131;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;8;;;26203;750629.88;1076663.75;2013-12-02T00:00:00
22846140;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;9;;;26203;750648.69;1076628.00;2013-12-02T00:00:00
22846158;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;10;;;26203;750679.19;1076655.13;2013-12-02T00:00:00
22846166;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;11;;;26203;750399.06;1076477.36;2014-02-03T00:00:00
22846174;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;12;;;26203;750758.13;1076712.50;2013-12-02T00:00:00
22846191;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;14;;;26203;750793.81;1076696.63;2013-12-02T00:00:00
22846204;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;15;;;26203;750702.69;1076506.00;2013-12-02T00:00:00
22846212;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;16;;;26203;750672.75;1076607.38;2013-12-02T00:00:00
22846221;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;17;;;26203;750424.31;1076671.38;2013-12-02T00:00:00
22846239;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;18;;;26203;750592.23;1076496.43;2013-12-02T00:00:00
22846247;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;19;;;26203;750689.70;1076621.22;2013-12-02T00:00:00
