Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
314595;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;1;;;39843;757427.50;1120345.00;2013-12-04T00:00:00
314609;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;2;;;39843;757443.81;1120302.25;2013-12-04T00:00:00
314617;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;3;;;39843;757424.00;1120267.75;2013-12-04T00:00:00
314625;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;4;;;39843;757399.50;1120230.00;2013-12-04T00:00:00
314633;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;5;;;39843;757446.44;1120204.00;2013-12-04T00:00:00
314641;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;6;;;39843;758190.19;1120774.25;2013-12-04T00:00:00
314650;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;7;;;39843;757499.63;1120148.75;2013-12-04T00:00:00
314668;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;8;;;39843;757544.81;1120111.50;2013-12-04T00:00:00
314676;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;9;;;39843;757585.27;1120078.77;2013-12-04T00:00:00
314684;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;10;;;39843;757601.00;1120115.25;2013-12-04T00:00:00
314692;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;11;;;39843;757552.06;1120162.88;2013-12-04T00:00:00
314706;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;15;;;39843;757536.44;1120187.88;2013-12-04T00:00:00
314714;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;16;;;39843;757483.00;1120297.00;2013-12-04T00:00:00
314722;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;17;;;39843;757471.88;1120281.75;2013-12-04T00:00:00
314731;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;18;;;39843;757571.25;1120280.13;2013-12-04T00:00:00
314749;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;19;;;39843;757470.63;1120229.50;2013-12-04T00:00:00
314757;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;20;;;39843;757393.44;1120313.13;2013-12-04T00:00:00
314765;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;21;;;39843;757399.50;1120338.13;2013-12-04T00:00:00
314773;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;22;;;39843;757404.56;1120250.88;2013-12-04T00:00:00
314781;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;23;;;39843;757631.00;1120272.63;2013-12-04T00:00:00
314790;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;24;;;39843;757483.00;1120337.88;2013-12-04T00:00:00
314803;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;25;;;39843;757485.75;1120217.63;2013-12-04T00:00:00
314811;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;26;;;39843;757561.13;1120306.38;2013-12-04T00:00:00
314820;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;27;;;39843;757625.28;1120083.40;2017-03-22T00:00:00
314838;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;28;;;39843;757904.56;1119576.38;2013-12-04T00:00:00
314846;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;29;;;39843;757930.31;1119538.75;2013-12-04T00:00:00
314854;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;30;;;39843;757863.75;1119539.50;2013-12-04T00:00:00
314862;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;31;;;39843;757871.06;1119567.75;2013-12-04T00:00:00
314871;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;32;;;39843;757411.88;1120367.38;2013-12-04T00:00:00
314889;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;33;;;39843;757459.75;1120257.00;2013-12-04T00:00:00
314897;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;34;;;39843;757648.88;1120061.75;2013-12-04T00:00:00
314901;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;35;;;39843;757906.38;1119494.13;2013-12-04T00:00:00
314919;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;37;;;39843;757917.69;1119467.25;2013-12-04T00:00:00
314927;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;42;;;39843;757885.02;1119428.45;2017-03-22T00:00:00
314935;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;84;;;39843;757921.61;1119436.07;2017-03-22T00:00:00
314943;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;85;;;39843;757913.70;1119435.88;2017-03-22T00:00:00
314951;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;86;;;39843;757905.78;1119435.85;2017-03-22T00:00:00
314960;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;88;;;39843;757860.94;1119431.88;2013-12-04T00:00:00
314978;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;1;;;39842;758147.38;1119320.00;2013-12-04T00:00:00
314986;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;2;;;39842;758058.44;1119194.25;2013-12-04T00:00:00
314994;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;3;;;39842;758171.88;1119382.25;2013-12-04T00:00:00
315001;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;4;;;39842;758159.69;1119376.75;2013-12-04T00:00:00
315010;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;5;;;39842;758134.75;1119376.88;2013-12-04T00:00:00
315028;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;6;;;39842;757994.75;1119313.25;2013-12-04T00:00:00
315036;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;7;;;39842;758058.69;1119414.38;2013-12-04T00:00:00
