Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
5169232;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;1;;;53803;657638.25;1072062.36;2013-12-01T00:00:00
5169241;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;2;;;53803;657559.10;1071976.66;2013-12-01T00:00:00
5169259;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;3;;;53803;657532.18;1072077.35;2013-12-01T00:00:00
5169267;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;4;;;53803;657500.33;1072086.57;2013-12-01T00:00:00
5169275;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;5;;;53803;657746.39;1071852.90;2013-12-01T00:00:00
5169283;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;6;;;53803;657497.60;1072140.75;2013-12-01T00:00:00
5169291;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;7;;;53803;657447.14;1072108.58;2013-12-01T00:00:00
5169305;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;8;;;53803;656958.31;1072041.78;2013-12-01T00:00:00
5169313;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;9;;;53803;657134.75;1072483.72;2013-12-01T00:00:00
5169321;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;10;;;53803;657528.82;1072308.83;2013-12-01T00:00:00
5169330;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;11;;;53803;657595.57;1072339.76;2013-12-01T00:00:00
5169348;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;12;;;53803;657627.52;1072355.76;2013-12-01T00:00:00
5169356;571628;Kostelec u Heømanova Mìstce;;;;;70262;Kostelec u Heømanova Mìstce;;;è.p.;13;;;53803;657612.93;1072032.39;2013-12-01T00:00:00
