Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
9917594;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;1;;;69111;580044.44;1189341.58;2013-12-06T00:00:00
9917608;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;2;;;69111;580065.95;1189285.91;2013-12-06T00:00:00
9917616;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;3;;;69111;580055.56;1189294.15;2013-12-06T00:00:00
9917624;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;4;;;69111;579953.19;1189310.28;2013-12-06T00:00:00
9917632;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;5;;;69111;580027.79;1189287.68;2013-12-06T00:00:00
9917641;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;6;;;69111;580031.14;1189276.21;2013-12-06T00:00:00
9917659;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;7;;;69111;580025.87;1189240.22;2013-12-06T00:00:00
9917667;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;8;;;69111;580042.81;1189196.85;2013-12-06T00:00:00
9917675;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;9;;;69111;580025.08;1189183.92;2013-12-06T00:00:00
9917683;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;10;;;69111;580024.94;1189166.15;2013-12-06T00:00:00
9917691;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;11;;;69111;580020.93;1189152.27;2013-12-06T00:00:00
9917705;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;12;;;69111;580015.94;1189127.98;2013-12-06T00:00:00
9917713;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;13;;;69111;580025.61;1189104.41;2013-12-06T00:00:00
9917721;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;14;;;69111;580024.19;1189087.08;2013-12-06T00:00:00
9917730;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;15;;;69111;580217.93;1189261.38;2013-12-06T00:00:00
9917748;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;16;;;69111;580018.48;1189141.61;2013-12-06T00:00:00
9917756;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;17;;;69111;580126.47;1189024.28;2013-12-06T00:00:00
9917764;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;18;;;69111;580121.30;1188957.33;2013-12-06T00:00:00
9917772;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;19;;;69111;580118.54;1188942.81;2013-12-06T00:00:00
9917799;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;21;;;69111;579846.03;1188404.75;2013-12-06T00:00:00
